"GEO.id","GEO.id2","GEO.display-label","id","id2","name","density"
"0400000US12",12,"Florida","0500000US12001",12001,"Alachua County",282.7
"0400000US12",12,"Florida","0500000US12003",12003,"Baker County",46.3
"0400000US12",12,"Florida","0500000US12005",12005,"Bay County",222.6
"0400000US12",12,"Florida","0500000US12007",12007,"Bradford County",97
"0400000US12",12,"Florida","0500000US12009",12009,"Brevard County",535
"0400000US12",12,"Florida","0500000US12011",12011,"Broward County",1444.9
"0400000US12",12,"Florida","0500000US12013",12013,"Calhoun County",25.8
"0400000US12",12,"Florida","0500000US12015",12015,"Charlotte County",235.2
"0400000US12",12,"Florida","0500000US12017",12017,"Citrus County",242.8
"0400000US12",12,"Florida","0500000US12019",12019,"Clay County",315.8
"0400000US12",12,"Florida","0500000US12021",12021,"Collier County",160.9
"0400000US12",12,"Florida","0500000US12023",12023,"Columbia County",84.7
"0400000US12",12,"Florida","0500000US12027",12027,"DeSoto County",54.7
"0400000US12",12,"Florida","0500000US12029",12029,"Dixie County",23.3
"0400000US12",12,"Florida","0500000US12031",12031,"Duval County",1133.9
"0400000US12",12,"Florida","0500000US12033",12033,"Escambia County",453.4
"0400000US12",12,"Florida","0500000US12035",12035,"Flagler County",197.1
"0400000US12",12,"Florida","0500000US12037",12037,"Franklin County",21.6
"0400000US12",12,"Florida","0500000US12039",12039,"Gadsden County",89.8
"0400000US12",12,"Florida","0500000US12041",12041,"Gilchrist County",48.4
"0400000US12",12,"Florida","0500000US12043",12043,"Glades County",16
"0400000US12",12,"Florida","0500000US12045",12045,"Gulf County",28.1
"0400000US12",12,"Florida","0500000US12047",12047,"Hamilton County",28.8
"0400000US12",12,"Florida","0500000US12049",12049,"Hardee County",43.5
"0400000US12",12,"Florida","0500000US12051",12051,"Hendry County",34
"0400000US12",12,"Florida","0500000US12053",12053,"Hernando County",365.6
"0400000US12",12,"Florida","0500000US12055",12055,"Highlands County",97.2
"0400000US12",12,"Florida","0500000US12057",12057,"Hillsborough County",1204.9
"0400000US12",12,"Florida","0500000US12059",12059,"Holmes County",41.6
"0400000US12",12,"Florida","0500000US12061",12061,"Indian River County",274.5
"0400000US12",12,"Florida","0500000US12063",12063,"Jackson County",54.2
"0400000US12",12,"Florida","0500000US12065",12065,"Jefferson County",24.7
"0400000US12",12,"Florida","0500000US12067",12067,"Lafayette County",16.3
"0400000US12",12,"Florida","0500000US12069",12069,"Lake County",316.6
"0400000US12",12,"Florida","0500000US12071",12071,"Lee County",788.7
"0400000US12",12,"Florida","0500000US12073",12073,"Leon County",413.1
"0400000US12",12,"Florida","0500000US12075",12075,"Levy County",36.5
"0400000US12",12,"Florida","0500000US12077",12077,"Liberty County",10
"0400000US12",12,"Florida","0500000US12079",12079,"Madison County",27.6
"0400000US12",12,"Florida","0500000US12081",12081,"Manatee County",434.5
"0400000US12",12,"Florida","0500000US12083",12083,"Marion County",209.1
"0400000US12",12,"Florida","0500000US12085",12085,"Martin County",269.2
"0400000US12",12,"Florida","0500000US12086",12086,"Miami-Dade County",1315.5
"0400000US12",12,"Florida","0500000US12087",12087,"Monroe County",74.3
"0400000US12",12,"Florida","0500000US12089",12089,"Nassau County",113
"0400000US12",12,"Florida","0500000US12091",12091,"Okaloosa County",194.4
"0400000US12",12,"Florida","0500000US12093",12093,"Okeechobee County",52
"0400000US12",12,"Florida","0500000US12095",12095,"Orange County",1268.5
"0400000US12",12,"Florida","0500000US12097",12097,"Osceola County",202.4
"0400000US12",12,"Florida","0500000US12099",12099,"Palm Beach County",670.2
"0400000US12",12,"Florida","0500000US12101",12101,"Pasco County",622.2
"0400000US12",12,"Florida","0500000US12103",12103,"Pinellas County",3347.5
"0400000US12",12,"Florida","0500000US12105",12105,"Polk County",334.9
"0400000US12",12,"Florida","0500000US12107",12107,"Putnam County",102.2
"0400000US12",12,"Florida","0500000US12109",12109,"St. Johns County",316.4
"0400000US12",12,"Florida","0500000US12111",12111,"St. Lucie County",485.7
"0400000US12",12,"Florida","0500000US12113",12113,"Santa Rosa County",149.6
"0400000US12",12,"Florida","0500000US12115",12115,"Sarasota County",682.6
"0400000US12",12,"Florida","0500000US12117",12117,"Seminole County",1367
"0400000US12",12,"Florida","0500000US12119",12119,"Sumter County",170.8
"0400000US12",12,"Florida","0500000US12121",12121,"Suwannee County",60.3
"0400000US12",12,"Florida","0500000US12123",12123,"Taylor County",21.6
"0400000US12",12,"Florida","0500000US12125",12125,"Union County",63.8
"0400000US12",12,"Florida","0500000US12127",12127,"Volusia County",449.2
"0400000US12",12,"Florida","0500000US12129",12129,"Wakulla County",50.8
"0400000US12",12,"Florida","0500000US12131",12131,"Walton County",53
"0400000US12",12,"Florida","0500000US12133",12133,"Washington County",42.7